nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason
Polyoxyethylene sorbitan tristearate,E436,SAFE,0.0258,0.14,46,10,0.22,72.0,Low negative evidence
Sodium dehydroacetate,E266,SAFE,0.069,0.2,96,32,0.342,62.0,Low negative evidence
Tylosin,E713,SAFE,0.187,0.64,1024,325,0.318,17.0,Low negative evidence
ammonium lactate,E328,SAFE,0.0546,0.22,118,42,0.357,46.0,Low negative evidence
Ammonium chloride,E510,DANGEROUS,0.5573,1.0,6067,2768,0.456,26.0,High negative evidence
Locust bean gum,E410,SAFE,0.1561,0.49,601,203,0.339,50.0,Low negative evidence
Zeaxanthin,E161H,DANGEROUS,0.3945,1.0,2692,1602,0.595,57.0,High negative evidence
Calcium polyphosphate,E452IV,SAFE,0.0316,0.16,66,19,0.29,25.0,Low negative evidence
peptone,E429,DANGEROUS,0.3522,1.0,4415,1788,0.405,29.0,High negative evidence
Calcium oxide,E529,SAFE,0.1059,0.59,865,156,0.181,35.0,Low negative evidence
Xanthan gum,E415,SAFE,0.1765,0.76,1440,284,0.198,44.0,Low negative evidence
Delta-tocopherol,E309,SAFE,0.1138,0.4,404,169,0.42,50.0,Low negative evidence
Potassium sulphates,E515,SAFE,0.0539,0.13,41,16,0.406,68.0,Low negative evidence
Disodium phosphate,E339II,SAFE,0.0627,0.19,95,25,0.269,32.0,Low negative evidence
Petroleum wax,E905C,SAFE,0.1468,0.64,1027,250,0.244,26.0,Low negative evidence
Quinoline yellow,E104,SAFE,0.116,0.33,277,115,0.418,68.0,Low negative evidence
Glucosylated steviol glycosides,E960D,UNKNOWN,0.0545,0.03,6,6,1.15,67.0,Insufficient research (6 papers)
Acesulfame k,E950,SAFE,0.1057,0.3,224,91,0.408,63.0,Low negative evidence
Calcium diglutamate,E623,SAFE,0.0281,0.1,23,6,0.302,55.0,Low negative evidence
Invertase,E1103,DANGEROUS,0.471,1.0,3629,1960,0.54,26.0,High negative evidence
Methyl p-hydroxybenzoate,E218,SAFE,0.0786,0.25,160,57,0.36,54.0,Low negative evidence
Sodium polyphosphate,E452I,SAFE,0.0275,0.16,65,12,0.194,51.0,Low negative evidence
Curdlan,E424,SAFE,0.139,0.46,530,213,0.402,37.0,Low negative evidence
Polyvinylpyrrolidone,E1201,WATCHLIST,0.2337,1.0,3908,746,0.191,38.0,Moderate concerns (SSI: 23.4%)
Sodium hydroxide,E524,WATCHLIST,0.235,1.0,7267,1859,0.256,41.0,Moderate concerns (SSI: 23.5%)
Sorbic acid,E200,WATCHLIST,0.3093,0.7,1216,655,0.539,55.0,Moderate concerns (SSI: 30.9%)
Fatty acid esters of ascorbic acid,E304,SAFE,0.1054,0.25,156,75,0.485,46.0,Low negative evidence
Calcium bromate,E924B,SAFE,0.0064,0.03,11,5,0.514,14.0,Low negative evidence
Guar gum,E412,WATCHLIST,0.2543,0.75,1388,426,0.307,36.0,Moderate concerns (SSI: 25.4%)
Powdered cellulose,E460II,SAFE,0.0609,0.12,36,9,0.257,17.0,Low negative evidence
Stannous chloride,E512,SAFE,0.1745,0.44,478,199,0.417,33.0,Low negative evidence
Magnesium carbonate,E504I,SAFE,0.0893,0.48,585,121,0.208,47.0,Low negative evidence
Lactic acid,E270,DANGEROUS,0.3877,1.0,43379,20996,0.484,39.0,High negative evidence
Benzole peroxide,E928,WATCHLIST,0.3325,0.64,1022,626,0.613,24.0,Moderate concerns (SSI: 33.3%)
Black 7984,E152,SAFE,0.0968,0.26,170,71,0.419,74.0,Low negative evidence
Succistearin,E446,SAFE,0.0332,0.13,44,15,0.341,57.0,Low negative evidence
Magnesium pyrophosphate,E546,SAFE,0.0605,0.24,143,41,0.293,33.0,Low negative evidence
Silver,E174,WATCHLIST,0.2705,1.0,77553,20442,0.264,47.0,Moderate concerns (SSI: 27.0%)
Plain caramel,E150A,UNKNOWN,0.0192,0.03,6,4,0.756,56.0,Insufficient research (6 papers)
Calcium malates,E352,WATCHLIST,0.2485,0.52,671,363,0.542,20.0,Moderate concerns (SSI: 24.9%)
Brown ht,E155,SAFE,0.0989,0.26,171,75,0.442,67.0,Low negative evidence
Xanthophylls,E161,DANGEROUS,0.3962,1.0,3740,2204,0.589,42.0,High negative evidence
Adipic acid,E355,WATCHLIST,0.2256,0.63,997,367,0.369,40.0,Moderate concerns (SSI: 22.6%)
Synthetic magnesium silicate,E553AI,SAFE,0.0406,0.15,53,11,0.212,25.0,Low negative evidence
Hydroxypropyl cellulose,E463,SAFE,0.0481,0.36,322,40,0.127,45.0,Low negative evidence
Thiabendazole,E233,WATCHLIST,0.2882,0.65,1064,436,0.41,30.0,Moderate concerns (SSI: 28.8%)
Monopotassium tartrate,E336I,UNKNOWN,0.0,0.01,1,0,0.0,20.0,Insufficient research (1 papers)
Shellac,E904,SAFE,0.0598,0.28,203,32,0.16,61.0,Low negative evidence
Caramel,E150,SAFE,0.1736,0.52,682,245,0.36,60.0,Low negative evidence
Lycopene,E160D,DANGEROUS,0.4712,1.0,3484,2295,0.659,59.0,High negative evidence
Beta-carotene,E160AI,DANGEROUS,0.4142,1.0,9664,5760,0.596,52.0,High negative evidence
Buffered vinegar,E267,SAFE,0.0584,0.19,90,34,0.385,62.0,Low negative evidence
Lactylated fatty acid esters of glycerol and propane-1,E478,SAFE,0.0708,0.12,34,14,0.423,71.0,Low negative evidence
ferrous hexacyanomanganate,E537,SAFE,0.0216,0.13,44,6,0.159,76.0,Low negative evidence
calcium gluconate,E578,WATCHLIST,0.2131,0.38,364,150,0.412,47.0,Moderate concerns (SSI: 21.3%)
Sodium malates,E350,DANGEROUS,0.4435,0.61,924,514,0.557,31.0,High negative evidence
calcium glycerophosphate,E383,SAFE,0.0469,0.23,135,31,0.233,52.0,Low negative evidence
Glycine,E640I,DANGEROUS,0.494,1.0,73199,36384,0.497,27.0,High negative evidence
Flavoxanthin,E161A,SAFE,0.0173,0.07,12,5,0.486,67.0,Low negative evidence
Spermaceti,E909,SAFE,0.017,0.14,51,7,0.143,33.0,Low negative evidence
Sodium stearoyl-2-lactylate,E481,SAFE,0.0422,0.16,66,17,0.271,59.0,Low negative evidence
Hydroxypropyl starch,E1440,SAFE,0.0417,0.18,80,18,0.235,34.0,Low negative evidence
E543 food additive,E543,SAFE,0.0456,0.12,38,16,0.438,68.0,Low negative evidence
Propane-1‚2-diol alginate,E405,SAFE,0.0627,0.22,126,38,0.306,59.0,Low negative evidence
Nitrogen,E931,WATCHLIST,0.3367,1.0,244505,89010,0.364,34.0,Moderate concerns (SSI: 33.7%)
Ferrous carbonate,E505,SAFE,0.0488,0.17,69,25,0.366,56.0,Low negative evidence
Tertiary-butylhydroquinone (tbhq),E319,SAFE,0.0853,0.23,128,48,0.381,53.0,Low negative evidence
Brominated vegetable oil,E443,SAFE,0.0603,0.17,74,30,0.412,52.0,Low negative evidence
Scarlet GN,E125,SAFE,0.083,0.28,194,67,0.35,72.0,Low negative evidence
Distarch phosphate,E1412,SAFE,0.0595,0.16,65,16,0.261,43.0,Low negative evidence
Copper complexes of chlorophylls and chlorophyllins,E141,SAFE,0.1028,0.28,199,83,0.418,71.0,Low negative evidence
Trisodium citrate,E331III,SAFE,0.0886,0.4,401,92,0.232,40.0,Low negative evidence
Disodium guanylate,E627,SAFE,0.0475,0.14,48,15,0.331,62.0,Low negative evidence
Isobutane,E943B,SAFE,0.0705,0.42,436,77,0.178,49.0,Low negative evidence
sodium lactate,E325,SAFE,0.1654,0.51,659,252,0.383,34.0,Low negative evidence
petroleum jelly,E905B,SAFE,0.0161,0.18,84,6,0.075,47.0,Low negative evidence
Calcium phosphates,E341,WATCHLIST,0.2106,1.0,6318,1770,0.28,39.0,Moderate concerns (SSI: 21.1%)
Sodium diacetate,E262II,SAFE,0.0228,0.24,139,20,0.149,28.0,Low negative evidence
Beta-carotene from blakeslea trispora,E160AIII,SAFE,0.0714,0.19,94,64,0.691,39.0,Low negative evidence
Azorubine,E122,SAFE,0.1033,0.32,253,88,0.351,65.0,Low negative evidence
Benzoic acid,E210,WATCHLIST,0.3075,1.0,8130,3037,0.374,35.0,Moderate concerns (SSI: 30.7%)
Exxx food additive,EXXX,DANGEROUS,0.6195,1.0,191460,106408,0.556,32.0,High negative evidence
Guaiacum,E314,SAFE,0.0862,0.21,111,55,0.497,67.0,Low negative evidence
Sodium carboxy methyl cellulose,E466,SAFE,0.0441,0.13,45,14,0.331,77.0,Low negative evidence
Glycyrrhizin,E958,SAFE,0.1372,0.34,282,126,0.449,35.0,Low negative evidence
Potassium alginate,E402,SAFE,0.0605,0.17,72,25,0.358,54.0,Low negative evidence
Formic acid,E236,WATCHLIST,0.2604,1.0,10918,3428,0.314,39.0,Moderate concerns (SSI: 26.0%)
Carbonates,E502,WATCHLIST,0.222,1.0,10588,2457,0.232,40.0,Moderate concerns (SSI: 22.2%)
Glyceryl triacetate,E1518,SAFE,0.0298,0.12,36,11,0.321,29.0,Low negative evidence
Lecithins,E322,DANGEROUS,0.5763,0.72,1289,409,0.318,39.0,High negative evidence
Black iron oxide,E172I,SAFE,0.0263,0.07,11,3,0.279,67.0,Low negative evidence
Beta-apo-8′-carotenal (c30),E160E,SAFE,0.0032,0.03,11,3,0.327,14.0,Low negative evidence
Malvidin,E163C,SAFE,0.1294,0.53,695,227,0.327,51.0,Low negative evidence
Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,E472F,UNKNOWN,0.0069,0.02,2,2,1.0,100.0,Insufficient research (2 papers)
Sodium ethyl p-hydroxybenzoate,E215,SAFE,0.0709,0.23,131,49,0.379,67.0,Low negative evidence
Monocalcium citrate,E333I,UNKNOWN,0.0,0.01,1,1,1.0,100.0,Insufficient research (1 papers)
Polyvinylpolypyrrolidone,E1202,SAFE,0.0492,0.25,159,42,0.27,49.0,Low negative evidence
Cochineal,E120,SAFE,0.1067,0.4,391,115,0.297,44.0,Low negative evidence
Potassium benzoate,E212,SAFE,0.0599,0.23,137,40,0.292,62.0,Low negative evidence
Oat lecithin,E322A,UNKNOWN,0.011,0.02,6,1,0.312,25.0,Insufficient research (6 papers)
Sodium carbonates,E500,SAFE,0.0471,0.18,77,26,0.341,57.0,Low negative evidence
Sorbitan monostearate,E491,SAFE,0.0623,0.2,97,32,0.332,39.0,Low negative evidence
Alginic acid,E400,SAFE,0.1153,0.43,469,122,0.261,33.0,Low negative evidence
Magnesium sulphate,E518,SAFE,0.1146,0.39,373,104,0.281,47.0,Low negative evidence
Butylated hydroxyanisole (bha),E320,DANGEROUS,0.543,0.52,677,593,0.877,23.0,High negative evidence
Methylphenylpolysiloxane,E900B,UNKNOWN,0.0017,0.01,2,0,0.25,0.0,Insufficient research (2 papers)
