id,codigo_e,nombre_limpio,pubchem_cid,pubchem_synonyms
en:e926,E926,Chlorine dioxide,24870.0,CHLORINE DIOXIDE|Alcide|10049-04-4|Chlorine oxide (ClO2)|Chlorine(IV) oxide
en:e242,E242,Dimethyl dicarbonate,12021.0,"Dimethyl carbonate|616-38-6|Methyl carbonate|Carbonic acid, dimethyl ester|Methyl carbonate ((MeO)2CO)"
en:e352ii,E352II,Calcium hydrogen malate,,
en:e407a,E407A,Processed eucheuma seaweed,,
en:e1414,E1414,Acetylated distarch phosphate,9884549.0,"5-Thiazolecarboxylic acid, 2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-, ethyl ester|EC 927-913-5|Ethyl 2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-5-thiazolecarboxylate|5-Thiazolecarboxylic acid, 2-(3-cyano-4-(2-methylpropoxy)phenyl)-4-methyl-, ethyl ester|Ethyl 2-(3-cyano-4-(2-methylpropoxy)phenyl)-4-methyl-5-thiazolecarboxylate"
en:e203,E203,Calcium sorbate,,
en:e221,E221,Sodium sulphite,,
en:e553b,E553B,Talc,,
en:e1520,E1520,Propylene Glycol,1030.0,"propylene glycol|1,2-propanediol|propane-1,2-diol|57-55-6|1,2-Propylene glycol"
en:e953,E953,isomalt,4454759.0,1-O-Hexopyranosylhexitol|DTXSID10860798|850347-32-9|RefChem:232520|DTXCID60201172
en:e1207,E1207,Anionic methacrylate copolymer,2763245.0,4-(Ethoxycarbonyl)-3-fluorophenylboronic Acid (contains varying amounts of Anhydride)|RefChem:516051|672-937-9|874288-38-7|4-Ethoxycarbonyl-3-fluorophenylboronic acid
en:e620,E620,Glutamic acid,33032.0,L-glutamic acid|GLUTAMIC ACID|56-86-0|L-glutamate|(2S)-2-Aminopentanedioic acid
en:e494,E494,Sorbitan monooleate,,
en:e127,E127,Erythrosine,3259.0,"ERYTHROSINE|E127|3',6'-dihydroxy-2',4',5',7'-tetraiodospiro[2-benzofuran-3,9'-xanthene]-1-one|FD & C red no. 3|3',6'-dihydroxy-2',4',5',7'-tetraiodospiro(2-benzofuran-3,9'-xanthene)-1-one"
en:e507,E507,Hydrochloric acid,313.0,hydrochloric acid|hydrogen chloride|7647-01-0|Muriatic acid|chlorane
en:e240,E240,Formaldehyde,712.0,formaldehyde|formalin|methanal|50-00-0|formol
en:e350ii,E350II,Sodium hydrogen malate,,
en:e344,E344,Lecithin citrate,,
en:e407,E407,Carrageenan,,
en:e327,E327,calcium lactate,,
en:e641,E641,Leucine,6106.0,L-leucine|61-90-5|leucine|(S)-Leucine|(S)-2-Amino-4-methylpentanoic acid
en:e160b,E160B,Annatto,5281226.0,"Bixin|6983-79-5|(2E,4E,6E,8E,10E,12E,14E,16Z,18E)-20-methoxy-4,8,13,17-tetramethyl-20-oxoicosa-2,4,6,8,10,12,14,16,18-nonaenoic acid|DTXSID1024629|Methyl (9-cis)-hydrogen-6,6'-diapo-psi,psi-carotenedioate"
en:e625,E625,Magnesium diglutamate,,
en:e576,E576,Sodium gluconate,23672301.0,"SODIUM GLUCONATE|527-07-1|Sodium D-gluconate|D-Gluconic acid, monosodium salt|gluconate sodium"
en:e1205,E1205,Basic methacrylate copolymer,44558175.0,3-ETHOXY-5-FLUOROPHENYLBORONIC ACID|3-Ethoxy-5-fluorophenylboronic Acid (contains varying amounts of Anhydride)|RefChem:501181|834-843-8|850589-53-6
en:e1442,E1442,Hydroxypropyl distarch phosphate,,
en:e476,E476,Polyglycerol polyricinoleate,,
en:e339iii,E339III,Trisodium phosphate,,
en:e111,E111,Orange GGN,,
en:e710,E710,Spiramycin,,
en:e513,E513,Sulphuric acid,1118.0,SULFURIC ACID|Sulphuric acid|7664-93-9|Dihydrogen sulfate|Dipping acid
en:e349,E349,ammonium malate,,
en:e413,E413,Tragacanth,,
en:e1204,E1204,Pullulan,16217201.0,2-Ethoxy-4-fluorophenylboronic Acid (contains varying amounts of Anhydride)|RefChem:471607|835-270-6|2-Ethoxy-4-fluorophenylboronic acid|480438-58-2
en:e622,E622,Monopotassium glutamate,56844440.0,6382-01-0|GLUTAMATE POTASSIUM|Potassium glutamate hydrate|POTASSIUM GLUTAMATE [WHO-DD]|AKOS015892822
en:e939,E939,Helium,23987.0,HELIUM|Atomic helium|Helium-4|7440-59-7|p-Helium
en:e311,E311,Octyl gallate,61253.0,"Octyl gallate|1034-01-1|Octyl 3,4,5-trihydroxybenzoate|n-Octyl gallate|Progallin O"
en:e489,E489,Methyl glucoside-coconut oil ester,,
en:e251,E251,Sodium nitrate,,
en:e341ii,E341II,Dicalcium phosphate,,
en:e1206,E1206,Neutral methacrylate copolymer,,
