nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason,efsa_status
Potassium sulphate,E515I,SAFE,0.026,0.18,80,11,0.139,31.0,Low negative evidence,APROVED
Orthophenyl phenol,E231,SAFE,0.0554,0.19,90,29,0.323,73.0,Low negative evidence,APPROVED
methyl cellulose,E461,SAFE,0.1502,0.54,727,179,0.247,33.0,Low negative evidence,APPROVED
Maltitol syrup,E965II,UNKNOWN,0.0084,0.03,4,1,0.25,100.0,Insufficient research (4 papers),APROVED
Anthocyanins,E163,SAFE,0.4514,1.0,11157,5103,0.457,48.0,High negative evidence,APPROVED
Polyphosphates,E452,SAFE,0.4585,1.0,3603,1878,0.521,37.0,High negative evidence,APPROVED
Rice bran wax,E908,SAFE,0.0397,0.16,68,11,0.171,29.0,Low negative evidence,APROVED
Calcium silicate,E552,SAFE,0.1162,0.88,1932,237,0.123,43.0,Low negative evidence,APPROVED
Canthaxanthin,E161G,SAFE,0.1654,0.49,589,287,0.488,27.0,Low negative evidence,APROVED
Wax ester,E910,SAFE,0.1642,0.39,379,184,0.486,26.0,Low negative evidence,APROVED
Sucroglycerides,E474,SAFE,0.0403,0.14,50,15,0.319,64.0,Low negative evidence,APPROVED
Gluconic acid,E574,WATCHLIST,0.3167,0.78,1532,760,0.496,30.0,Moderate concerns (SSI: 31.7%),APPROVED
Castor oil,E1503,WATCHLIST,0.2139,0.66,1096,307,0.28,33.0,Moderate concerns (SSI: 21.4%),APROVED
Ascorbyl palmitate,E304I,SAFE,0.1009,0.24,150,66,0.441,29.0,Low negative evidence,APROVED
Potassium bromate,E924A,DANGEROUS,0.5234,0.35,315,374,1.188,37.0,High negative evidence,APROVED
Potassium pectate,E440AIII,UNKNOWN,0.0048,0.01,1,2,2.0,100.0,Insufficient research (1 papers),APROVED
Dipotassium inosinate,E632,SAFE,0.0497,0.11,33,13,0.403,59.0,Low negative evidence,APPROVED
acetone peroxide,E929,SAFE,0.0226,0.1,27,7,0.263,80.0,Low negative evidence,APROVED
Cyanidin,E163A,WATCHLIST,0.3464,0.94,2230,921,0.413,43.0,Moderate concerns (SSI: 34.6%),APROVED
ferric ammonium citrate,E381,SAFE,0.1955,0.35,304,190,0.627,41.0,Low negative evidence,APROVED
Sorbitan trioleate,E496,SAFE,0.0494,0.16,62,18,0.301,52.0,Low negative evidence,APROVED
Stearyl tartrate,E483,SAFE,0.0611,0.14,47,20,0.435,68.0,Low negative evidence,APPROVED
Esters of Colophane,E915,SAFE,0.03,0.09,19,5,0.301,64.0,Low negative evidence,APROVED
Tannin,E181,WATCHLIST,0.2836,1.0,3940,1041,0.264,28.0,Moderate concerns (SSI: 28.4%),APROVED
Potassium sodium tartrate,E337,SAFE,0.0583,0.2,99,32,0.325,68.0,Low negative evidence,APPROVED
Potassium bromate,E924,WITHDRAWN,0.4955,0.36,326,379,1.164,38.0,High negative evidence,WITHDRAWN
Sodium silicate,E550,SAFE,0.0772,0.61,929,110,0.119,51.0,Low negative evidence,APROVED
Disodium 5'-ribonucleotide,E635,SAFE,0.039,0.11,33,11,0.343,54.0,Low negative evidence,APPROVED
Diphosphates,E450,SAFE,0.712,1.0,5530,3043,0.55,36.0,High negative evidence,APPROVED
Montanic acid esters,E912,SAFE,0.0171,0.1,26,5,0.216,32.0,Low negative evidence,APPROVED
E15x food additive,E15X,DANGEROUS,0.6195,1.0,191460,106408,0.556,32.0,High negative evidence,APROVED
Aluminium potassium sulphate,E522,SAFE,0.0426,0.13,42,12,0.294,67.0,Low negative evidence,APPROVED
Glycerol,E422,SAFE,0.4759,1.0,43491,20671,0.475,27.0,High negative evidence,APPROVED
Magnesium salts of fatty acids,E470B,UNKNOWN,0.0158,0.01,2,2,1.25,0.0,Insufficient research (2 papers),APROVED
Tartrazine,E102,WATCHLIST,0.242,0.59,865,313,0.362,53.0,Moderate concerns (SSI: 24.2%),APPROVED
Sandalwood,E166,SAFE,0.1123,0.37,346,130,0.376,58.0,Low negative evidence,APROVED
Tripotassium citrate,E332II,SAFE,0.0117,0.06,10,1,0.16,60.0,Low negative evidence,APROVED
Sodium sulphates,E514,SAFE,0.5626,1.0,46154,21310,0.462,31.0,High negative evidence,APPROVED
Acacia gum,E414,SAFE,0.0943,0.24,146,52,0.357,52.0,Low negative evidence,APPROVED
Protease,E1101,DANGEROUS,0.5436,1.0,67375,45736,0.679,39.0,High negative evidence,APROVED
Potassium bisulphite,E228,SAFE,0.0909,0.25,152,60,0.398,56.0,Low negative evidence,APROVED
Polyvinyl alcohol,E1203,SAFE,0.1757,1.0,6498,1021,0.157,41.0,Low negative evidence,APPROVED
Calcium ascorbate,E302,SAFE,0.0732,0.21,111,37,0.337,68.0,Low negative evidence,APPROVED
Ammonia caramel,E150C,SAFE,0.0556,0.05,13,8,0.617,18.0,Low negative evidence,APROVED
Potassium fumarate,E366,SAFE,0.0509,0.17,71,26,0.375,69.0,Low negative evidence,APPROVED
Mineral oil medium and low viscosity class II,E905F,UNKNOWN,0.0024,0.01,1,1,1.0,100.0,Insufficient research (1 papers),APROVED
Fast Green FCF,E143,SAFE,0.1175,0.35,300,108,0.361,60.0,Low negative evidence,APROVED
Fast Yellow AB,E105,SAFE,0.0758,0.32,261,74,0.286,68.0,Low negative evidence,APROVED
Potassium hydroxide,E525,SAFE,0.1623,0.89,1989,400,0.201,44.0,Low negative evidence,APPROVED
Fumaric acid,E297,WATCHLIST,0.2769,0.72,1290,598,0.464,32.0,Moderate concerns (SSI: 27.7%),APROVED
Sodium aluminium phosphate,E541,SAFE,0.0641,0.12,38,18,0.484,63.0,Low negative evidence,APPROVED
Superglycerinated hydrogenated rapeseed oil,E441,SAFE,0.1273,0.32,259,114,0.441,27.0,Low negative evidence,APPROVED
Konjac,E425,SAFE,0.1711,0.57,817,203,0.249,32.0,Low negative evidence,APPROVED
Copper sulphate,E519,WATCHLIST,0.3,0.48,582,288,0.497,26.0,Moderate concerns (SSI: 30.0%),APROVED
Magnesium phosphates,E343,RESTRICTED,0.0645,0.26,172,52,0.304,53.0,Low negative evidence,RESTRICTED
Gum ghatti,E419,SAFE,0.0633,0.19,94,28,0.3,65.0,Low negative evidence,APPROVED
Disodium tartrate,E335II,UNKNOWN,0.0031,0.02,6,0,0.087,20.0,Insufficient research (6 papers),APROVED
Tricalcium citrate,E333III,UNKNOWN,0.0063,0.03,4,0,0.188,50.0,Insufficient research (4 papers),APROVED
4-hexylresorcinol,E586,SAFE,0.0579,0.19,87,32,0.375,38.0,Low negative evidence,APPROVED
Xylitol,E967,SAFE,0.4522,1.0,2718,1509,0.555,49.0,High negative evidence,APPROVED
Sorbitol,E420,RESTRICTED,0.4971,1.0,7108,3661,0.515,33.0,High negative evidence,RESTRICTED
Aluminium sulphate,E520,SAFE,0.0799,0.26,172,61,0.356,50.0,Low negative evidence,APPROVED
Sorbitan monolaurate,E493,SAFE,0.0621,0.22,122,35,0.291,49.0,Low negative evidence,APPROVED
Calcium erythorbin,E318,DANGEROUS,0.4607,1.0,313426,160962,0.514,28.0,High negative evidence,APROVED
Calcium stearoyl fumarate,E486,SAFE,0.0535,0.11,33,16,0.512,72.0,Low negative evidence,APROVED
E414a food additive,E414A,UNKNOWN,0.0105,0.03,4,5,1.25,100.0,Insufficient research (4 papers),APROVED
Curcumin,E100,SAFE,0.509,1.0,4971,2805,0.564,40.0,High negative evidence,APPROVED
saccharin and its salts,E954,RESTRICTED,0.0792,0.19,89,35,0.397,31.0,Low negative evidence,RESTRICTED
Lactic acid esters of mono- and diglycerides of fatty acids,E472B,UNKNOWN,0.0032,0.01,3,3,1.0,50.0,Insufficient research (3 papers),APROVED
Yellow iron oxide,E172III,UNKNOWN,0.0,0.04,9,0,0.0,50.0,Insufficient research (9 papers),APROVED
Phytic acid,E391,SAFE,0.4474,1.0,4259,2062,0.484,42.0,High negative evidence,APPROVED
Ascorbic acid,E300,SAFE,0.586,1.0,36197,19502,0.539,41.0,High negative evidence,APPROVED
Cryptoaxanthin,E161C,UNKNOWN,0.0,0.0,0,0,0.0,0.0,No scientific literature found,APROVED
Neohesperidine dihydrochalcone,E959,SAFE,0.0421,0.11,30,10,0.341,59.0,Low negative evidence,APPROVED
Phosphated distarch phosphate,E1413,SAFE,0.0563,0.16,65,14,0.228,41.0,Low negative evidence,APPROVED
Heptylparaben,E209,SAFE,0.0756,0.22,121,43,0.36,72.0,Low negative evidence,APROVED
Monosodium citrate,E331I,UNKNOWN,0.0,0.03,5,0,0.0,50.0,Insufficient research (5 papers),APROVED
