nombre,e_code,status,ssi,confidence,total_papers,papers_negative,ratio_negative,pct_human_studies,reason,efsa_status
Polyglycerol polyricinoleate,E476,SAFE,0.0619,0.2,98,25,0.257,44.0,Low negative evidence,APPROVED
Trisodium phosphate,E339III,SAFE,0.0145,0.27,176,18,0.106,32.0,Low negative evidence,APROVED
Orange GGN,E111,SAFE,0.0974,0.29,205,77,0.378,74.0,Low negative evidence,APROVED
Spiramycin,E710,WATCHLIST,0.2312,0.49,597,201,0.338,35.0,Moderate concerns (SSI: 23.1%),APROVED
Sulphuric acid,E513,SAFE,0.1784,0.76,1436,317,0.221,46.0,Low negative evidence,APPROVED
ammonium malate,E349,SAFE,0.0698,0.18,82,28,0.349,58.0,Low negative evidence,APROVED
Tragacanth,E413,SAFE,0.1195,0.33,273,75,0.275,41.0,Low negative evidence,APPROVED
Pullulan,E1204,WATCHLIST,0.2276,0.68,1156,443,0.384,37.0,Moderate concerns (SSI: 22.8%),APPROVED
Monopotassium glutamate,E622,SAFE,0.0425,0.15,59,15,0.266,52.0,Low negative evidence,APPROVED
Helium,E939,SAFE,0.0811,1.0,11065,1023,0.093,48.0,Low negative evidence,APPROVED
Octyl gallate,E311,RESTRICTED,0.1285,0.28,200,93,0.469,48.0,Low negative evidence,RESTRICTED
Methyl glucoside-coconut oil ester,E489,WATCHLIST,0.2375,0.76,1458,572,0.393,27.0,Moderate concerns (SSI: 23.7%),APROVED
Sodium nitrate,E251,RESTRICTED,0.3993,0.68,1159,749,0.647,35.0,High negative evidence,RESTRICTED
Dicalcium phosphate,E341II,SAFE,0.0925,0.47,560,133,0.239,27.0,Low negative evidence,APROVED
Neutral methacrylate copolymer,E1206,SAFE,0.023,0.07,11,5,0.455,100.0,Low negative evidence,APPROVED
Mineral oil high viscosity,E905D,WATCHLIST,0.3179,1.0,4279,1265,0.296,35.0,Moderate concerns (SSI: 31.8%),APROVED
Zinc acetate,E650,SAFE,0.1144,0.59,865,183,0.212,36.0,Low negative evidence,APPROVED
Sodium ferrocyanide,E535,SAFE,0.0961,0.19,92,45,0.491,49.0,Low negative evidence,APPROVED
white and yellow beeswax,E901,SAFE,0.0322,0.12,39,10,0.259,46.0,Low negative evidence,APPROVED
Oligoesters of sucrose type I,E473A,UNKNOWN,0.0024,0.01,1,1,1.0,100.0,Insufficient research (1 papers),APROVED
Dehydroacetic acid,E265,SAFE,0.0817,0.29,206,52,0.256,59.0,Low negative evidence,APROVED
Polyoxyethylene sorbitan monostearate,E435,SAFE,0.0481,0.16,66,22,0.347,60.0,Low negative evidence,APPROVED
Copper complexes of chlorophyllins,E141II,UNKNOWN,0.0224,0.01,1,2,2.5,0.0,Insufficient research (1 papers),APROVED
ammonium persulfate,E923,SAFE,0.0929,0.45,504,107,0.213,55.0,Low negative evidence,APROVED
Partially hydrolyzed lecithin,E322II,SAFE,0.0359,0.04,10,5,0.54,42.0,Low negative evidence,APROVED
Monopotassium phosphate,E340I,SAFE,0.0528,0.14,46,20,0.45,53.0,Low negative evidence,APROVED
Alitame,E956,SAFE,0.0191,0.14,49,12,0.251,64.0,Low negative evidence,APPROVED
Cross-linked sodium carboxymethylcellulose,E468,SAFE,0.0499,0.15,53,16,0.302,59.0,Low negative evidence,APPROVED
Calcium formiate,E238,SAFE,0.0651,0.19,92,36,0.395,61.0,Low negative evidence,APPROVED
Stearyl citrate,E484,SAFE,0.0761,0.14,49,24,0.501,72.0,Low negative evidence,APPROVED
Monostarch phosphate,E1410,SAFE,0.043,0.07,12,7,0.609,62.0,Low negative evidence,APPROVED
DL-Alpha-tocopherol,E307C,SAFE,0.197,0.29,213,134,0.63,23.0,Low negative evidence,APROVED
Chlorophylls,E140I,DANGEROUS,0.3931,1.0,3138,1372,0.437,33.0,High negative evidence,APROVED
Enzymatically produced steviol glycosides,E960C,SAFE,0.0289,0.08,15,11,0.737,50.0,Low negative evidence,APROVED
Sodium acetates,E262,SAFE,0.065,0.19,89,32,0.36,63.0,Low negative evidence,APPROVED
Polyoxyethylene sorbitan monolaurate,E432,SAFE,0.0444,0.17,76,21,0.283,60.0,Low negative evidence,APPROVED
Polydextrose,E1200,SAFE,0.0849,0.29,206,89,0.434,52.0,Low negative evidence,APPROVED
Titanium dioxide,E171,RESTRICTED,0.2897,1.0,17997,5647,0.314,43.0,Moderate concerns (SSI: 29.0%),RESTRICTED
Sucrose esters of fatty acids,E473,SAFE,0.0397,0.15,54,15,0.285,68.0,Low negative evidence,APPROVED
Aluminium stearate,E573,SAFE,0.0385,0.13,40,12,0.3,62.0,Low negative evidence,APROVED
Potassium carbonate,E501I,SAFE,0.0869,0.53,707,146,0.207,35.0,Low negative evidence,APROVED
Alanin,E369,SAFE,0.1626,0.28,200,97,0.487,45.0,Low negative evidence,APROVED
Algal carotenes,E160AIV,WATCHLIST,0.2538,0.53,711,380,0.535,31.0,Moderate concerns (SSI: 25.4%),APROVED
ethyl acetate,E1504,WATCHLIST,0.3082,1.0,8209,2858,0.348,40.0,Moderate concerns (SSI: 30.8%),APROVED
saffron,E164,SAFE,0.1764,0.59,876,264,0.301,49.0,Low negative evidence,APROVED
Acetic acid,E260,WATCHLIST,0.3484,1.0,35969,13778,0.383,30.0,Moderate concerns (SSI: 34.8%),APPROVED
Polyoxyethylene (8) stearate,E430,SAFE,0.0586,0.13,44,19,0.435,62.0,Low negative evidence,APPROVED
