id,codigo_e,nombre_limpio,pubchem_cid,pubchem_synonyms,id_original,nombre_referencia,cluster
en:e442,E442,ammonium phosphatides,,,74,ammonium phosphatides,2
en:e163e,E163E,peonidin,,,75,peonidin,1
en:e542,E542,bone phosphate,,,76,bone phosphate,2
en:e160c,E160C,paprika extract,,,77,paprika extract,3
en:e356,E356,sodium adipate,24073.0,"Sodium adipate|Disodium adipate|7486-38-6|Hexanedioic acid, disodium salt|ADIPIC ACID, DISODIUM SALT",78,sodium adipate,0
en:e517,E517,ammonium sulphate,,,79,ammonium sulphate,0
en:e417,E417,tara gum,,,80,tara gum,0
en:e323,E323,anoxomer,,,81,anoxomer,0
en:e301,E301,sodium ascorbate,23667548.0,SODIUM ASCORBATE|134-03-2|L-Ascorbic acid sodium salt|Sodium L-ascorbate|Vitamin C sodium,82,sodium ascorbate,0
en:e331ii,E331II,disodium citrate,,,83,disodium citrate,0
en:e101,E101,riboflavin,493570.0,riboflavin|vitamin B2|83-88-5|Riboflavine|Lactoflavin,84,riboflavin,3
en:e101,E101,riboflavin,493570.0,riboflavin|vitamin B2|83-88-5|Riboflavine|Lactoflavin,310,riboflavin,3
en:e101i,E101I,riboflavin,,,84,riboflavin,3
en:e101i,E101I,riboflavin,,,310,riboflavin,3
en:e123,E123,amaranth,13506.0,AMARANTH|915-67-3|Acid red 27|Azorubin S|Bordeaux S,85,amaranth,3
en:e445,E445,glycerol esters of wood rosin,,,86,glycerol esters of wood rosin,0
en:e421,E421,mannitol,6251.0,D-mannitol|mannitol|69-65-8|Mannite|Osmitrol,87,mannitol,3
en:e503,E503,ammonium carbonates,,,88,ammonium carbonates,0
en:e521,E521,aluminium sodium sulphate,,,89,aluminium sodium sulphate,0
en:e403,E403,ammonium alginate,,,90,ammonium alginate,0
en:e545,E545,ammonium polyphosphate,,,91,ammonium polyphosphate,0
en:e545,E545,ammonium polyphosphate,,,302,ammonium polyphosphate,2
en:e452v,E452V,ammonium polyphosphate,,,91,ammonium polyphosphate,0
en:e452v,E452V,ammonium polyphosphate,,,302,ammonium polyphosphate,2
en:e957,E957,thaumatin,,,92,thaumatin,2
en:e332i,E332I,monopotassium citrate,,,93,monopotassium citrate,0
en:e964,E964,polyglycitol syrup,,,94,polyglycitol syrup,2
en:e1423,E1423,acetylated distarch glycerol,9922512.0,"(S)-Ethyl 2-((S)-4-methyl-2,5-dioxooxazolidin-3-yl)-4-phenylbutanoate|ethyl (2S)-2-[(4S)-4-methyl-2,5-dioxo-1,3-oxazolidin-3-yl]-4-phenylbutanoate|NQ2ZF6YUH8|N-[1-(S)-(+)-Ethoxycarbonyl-3-phenylpropyl]-L-alanyl carboxyanhydride|DTXSID10432893",95,acetylated distarch glycerol,2
en:e540,E540,dicalcium diphosphate,,,96,dicalcium diphosphate,0
en:e540,E540,dicalcium diphosphate,,,426,dicalcium diphosphate,3
en:e450vi,E450VI,dicalcium diphosphate,,,96,dicalcium diphosphate,0
en:e450vi,E450VI,dicalcium diphosphate,,,426,dicalcium diphosphate,3
en:e1441,E1441,hydroxy propyl distarch glycerine,9855712.0,p-(1-Ethoxyethoxy)styrene|DTXSID40431834|RefChem:1094132|DTXCID30382664|1-(1-Ethoxyethoxy)-4-vinylbenzene,97,hydroxy propyl distarch glycerine,2
en:e440,E440,pectins,,,98,pectins,0
en:e392,E392,extracts of rosemary,,,99,extracts of rosemary,0
en:e101a,E101A,e101a food additive,643976.0,flavin mononucleotide|146-17-8|Vitamin B2 phosphate|Riboflavin 5'-phosphate|RIBOFLAVIN PHOSPHATE,100,e101a food additive,3
en:e969,E969,advantame,56843846.0,Advantame|714229-20-6|Advantame monohydrate|UNII-3ZA6810AWX|3ZA6810AWX,101,advantame,2
en:e335i,E335I,monosodium tartrate,,,102,monosodium tartrate,0
en:e213,E213,calcium benzoate,62425.0,"Calcium benzoate|2090-05-3|Calcium dibenzoate|Benzoic acid, calcium salt|3QDE968MKD",103,calcium benzoate,0
en:e628,E628,dipotassium guanylate,135565913.0,Dipotassium 5'-guanylate|3254-39-5|Dipotassium guanylate|UNII-R87C8160YV|R87C8160YV,104,dipotassium guanylate,2
en:e235,E235,natamycin,22523776.0,"891894-69-2|E235|e235-1756|N-(1-benzylpiperidin-4-yl)-2-(4-fluorophenyl)imidazo[2,1-b][1,3]benzothiazole-6-carboxamide|E 235",105,natamycin,0
en:e553aii,E553AII,magnesium trisilicate,,,106,magnesium trisilicate,2
en:e465,E465,ethyl methyl cellulose,,,107,ethyl methyl cellulose,0
en:e353,E353,metatartaric acid,,,108,metatartaric acid,0
en:e551,E551,silicon dioxide,24261.0,SILICON DIOXIDE|Silica|Dioxosilane|7631-86-9|Silicic anhydride,109,silicon dioxide,0
en:e451,E451,triphosphates,,,110,triphosphates,0
en:e163d,E163D,pelargonidin,,,111,pelargonidin,1
en:e153,E153,vegetable carbon,,,112,vegetable carbon,3
en:e126,E126,ponceau 6r,136114690.0,CHEMBL368082|E126|Q596946,113,ponceau 6r,1
en:e180,E180,litholrubine bk,22139.0,Litholrubine BK|3-hydroxy-4-[(4-methyl-2-sulphophenyl)azo]-2-naphthoic acid|3-Hydroxy-4-((4-methyl-2-sulphophenyl)azo)-2-naphthoic acid|3-Hydroxy-4-[2-(4-methyl-2-sulfophenyl)diazenyl]-2-naphthalenecarboxylic acid|3-Hydroxy-4-(2-(4-methyl-2-sulfophenyl)diazenyl)-2-naphthalenecarboxylic acid,114,litholrubine bk,3
en:e232,E232,sodium orthophenyl phenol,517383.0,"E232|RefChem:1084025|6152-33-6|2-Phenylphenol sodium salt tetrahydrate|Sodium, (2-biphenylyloxy)-, tetrahydrate",115,sodium orthophenyl phenol,0
en:e406,E406,agar,,,116,agar,3
en:e462,E462,ethyl cellulose,,,118,ethyl cellulose,2
en:e380,E380,triammonium citrate,,,119,triammonium citrate,0
en:e326,E326,potassium lactate,23671663.0,"POTASSIUM LACTATE|996-31-6|potassium 2-hydroxypropanoate|Monopotassium lactate|Lactic acid, potassium salt",120,potassium lactate,0
en:e284,E284,boric acid,,,121,boric acid,0
en:e477,E477,propane-1‚2-diol esters of fatty acids,,,122,propane-1‚2-diol esters of fatty acids,0
en:e577,E577,potassium gluconate,,,123,potassium gluconate,2
en:e538,E538,calcium ferrocyanide,,,124,calcium ferrocyanide,2
en:e927a,E927A,azodicarbonamide,5462814.0,Azodicarbonamide|Azodicarboxamide|Diazenedicarboxamide|Azobisformamide|Azodiformamide,125,azodicarbonamide,2
