id,codigo_e,nombre
en:e127,E127,E127 - Erythrosine
en:e507,E507,E507 - Hydrochloric acid
en:e240,E240,E240 - Formaldehyde
en:e350ii,E350II,E350ii - Sodium hydrogen malate
en:e344,E344,E344 - Lecithin citrate
en:e407,E407,E407 - Carrageenan
en:e327,E327,E327 - calcium lactate
en:e641,E641,E641 - Leucine
en:e160b,E160B,E160b - Annatto
en:e625,E625,E625 - Magnesium diglutamate
en:e576,E576,E576 - Sodium gluconate
en:e1205,E1205,E1205 - Basic methacrylate copolymer
en:e1442,E1442,E1442 - Hydroxypropyl distarch phosphate
en:e476,E476,E476 - Polyglycerol polyricinoleate
en:e339iii,E339III,E339iii - Trisodium phosphate
en:e111,E111,E111 - Orange GGN
en:e710,E710,E710 - Spiramycin
en:e513,E513,E513 - Sulphuric acid
en:e349,E349,E349 - ammonium malate
en:e413,E413,E413 - Tragacanth
en:e1204,E1204,E1204 - Pullulan
en:e622,E622,E622 - Monopotassium glutamate
en:e939,E939,E939 - Helium
en:e311,E311,E311 - Octyl gallate
en:e489,E489,E489 - Methyl glucoside-coconut oil ester
en:e251,E251,E251 - Sodium nitrate
en:e341ii,E341II,E341ii - Dicalcium phosphate
en:e1206,E1206,E1206 - Neutral methacrylate copolymer
en:e905d,E905D,E905d - Mineral oil high viscosity
en:e650,E650,E650 - Zinc acetate
en:e535,E535,E535 - Sodium ferrocyanide
en:e901,E901,E901 - white and yellow beeswax
en:e473a,E473A,E473a - Oligoesters of sucrose type I
en:e265,E265,E265 - Dehydroacetic acid
en:e435,E435,E435 - Polyoxyethylene sorbitan monostearate
en:e141ii,E141II,E141ii - Copper complexes of chlorophyllins
en:e923,E923,E923 - ammonium persulfate
en:e322ii,E322II,E322ii - Partially hydrolyzed lecithin
en:e340i,E340I,E340i - Monopotassium phosphate
en:e956,E956,E956 - Alitame
en:e468,E468,E468 - Cross-linked sodium carboxymethylcellulose
en:e238,E238,E238 - Calcium formiate
en:e484,E484,E484 - Stearyl citrate
en:e1410,E1410,E1410 - Monostarch phosphate
en:e307c,E307C,E307c - DL-Alpha-tocopherol
en:e140i,E140I,E140i - Chlorophylls
en:e960c,E960C,E960c - Enzymatically produced steviol glycosides
en:e262,E262,E262 - Sodium acetates
en:e432,E432,E432 - Polyoxyethylene sorbitan monolaurate
en:e1200,E1200,E1200 - Polydextrose
en:e171,E171,E171 - Titanium dioxide
en:e473,E473,E473 - Sucrose esters of fatty acids
en:e573,E573,E573 - Aluminium stearate
en:e501i,E501I,E501i - Potassium carbonate
en:e369,E369,E369 - Alanin
en:e160aiv,E160AIV,E160aiv - Algal carotenes
en:e1504,E1504,E1504 - ethyl acetate
en:e164,E164,E164 - saffron
en:e260,E260,E260 - Acetic acid
en:e430,E430,E430 - Polyoxyethylene (8) stearate
en:e450vii,E450VII,E450vii - Calcium dihydrogen diphosphate
en:e530,E530,E530 - Magnesium oxide
en:e1505,E1505,E1505 - Triethyl citrate
en:e388,E388,E388 - Thiodipropionic acid
en:e416,E416,E416 - Karaya-gum
en:e516,E516,E516 - Calcium sulphate
en:e500ii,E500II,E500ii - Sodium hydrogen carbonate
en:e357,E357,E357 - Potassium adipate
en:e290,E290,E290 - Carbon dioxide
en:e201,E201,E201 - Sodium sorbate
